NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 364; Bronx County; New York,844,318,36,005,036400,36005036400,0.3767772511848341
Census Tract 365.01; Bronx County; New York,1407,969,36,005,036501,36005036501,0.6886993603411514
Census Tract 365.02; Bronx County; New York,781,537,36,005,036502,36005036502,0.6875800256081946
Census Tract 367; Bronx County; New York,661,367,36,005,036700,36005036700,0.5552193645990923
Census Tract 368; Bronx County; New York,626,233,36,005,036800,36005036800,0.3722044728434505
Census Tract 369.01; Bronx County; New York,750,523,36,005,036901,36005036901,0.6973333333333334
Census Tract 369.02; Bronx County; New York,822,626,36,005,036902,36005036902,0.7615571776155717
Census Tract 370; Bronx County; New York,683,220,36,005,037000,36005037000,0.32210834553440704
Census Tract 371; Bronx County; New York,1731,1353,36,005,037100,36005037100,0.7816291161178509
Census Tract 372; Bronx County; New York,841,365,36,005,037200,36005037200,0.4340071343638526
Census Tract 373; Bronx County; New York,2062,1554,36,005,037300,36005037300,0.7536372453928225
Census Tract 374; Bronx County; New York,1478,1005,36,005,037400,36005037400,0.6799729364005412
Census Tract 375.04; Bronx County; New York,1394,987,36,005,037504,36005037504,0.7080344332855093
Census Tract 376; Bronx County; New York,753,270,36,005,037600,36005037600,0.35856573705179284
Census Tract 378; Bronx County; New York,1142,545,36,005,037800,36005037800,0.47723292469352013
Census Tract 379; Bronx County; New York,1930,1459,36,005,037900,36005037900,0.7559585492227979
Census Tract 380; Bronx County; New York,1937,1337,36,005,038000,36005038000,0.6902426432627775
Census Tract 381; Bronx County; New York,2619,1834,36,005,038100,36005038100,0.7002672775868652
Census Tract 382; Bronx County; New York,958,345,36,005,038200,36005038200,0.36012526096033404
Census Tract 383.01; Bronx County; New York,1658,1137,36,005,038301,36005038301,0.6857659831121834
Census Tract 383.03; Bronx County; New York,1207,974,36,005,038303,36005038303,0.8069594034797017
Census Tract 383.04; Bronx County; New York,788,640,36,005,038304,36005038304,0.8121827411167513
Census Tract 385; Bronx County; New York,1736,1317,36,005,038500,36005038500,0.7586405529953917
Census Tract 386; Bronx County; New York,2883,1626,36,005,038600,36005038600,0.5639958376690947
Census Tract 387; Bronx County; New York,1448,1120,36,005,038700,36005038700,0.7734806629834254
Census Tract 388; Bronx County; New York,981,279,36,005,038800,36005038800,0.28440366972477066
Census Tract 389; Bronx County; New York,1834,1232,36,005,038900,36005038900,0.6717557251908397
Census Tract 390; Bronx County; New York,1076,399,36,005,039000,36005039000,0.370817843866171
Census Tract 391; Bronx County; New York,2896,1933,36,005,039100,36005039100,0.6674723756906077
Census Tract 392; Bronx County; New York,663,290,36,005,039200,36005039200,0.4374057315233786
Census Tract 393; Bronx County; New York,3030,2369,36,005,039300,36005039300,0.7818481848184818
Census Tract 394; Bronx County; New York,1651,983,36,005,039400,36005039400,0.595396729254997
Census Tract 395; Bronx County; New York,1738,1372,36,005,039500,36005039500,0.7894131185270425
Census Tract 396; Bronx County; New York,1485,958,36,005,039600,36005039600,0.6451178451178451
Census Tract 397; Bronx County; New York,439,379,36,005,039700,36005039700,0.8633257403189066
